Zone,Vacancy_Rate,Year
Zone 1 - West End/Stanley Park,0.4,2022
Zone 2 - English Bay,0.9,2022
Zone 3 - Downtown,1.8,2022
West End/Downtown (Zones 1-3),1.3,2022
Zone 4 - South Granville/Oak,0.6,2022
Zone 5 - Kitsilano/Point Grey,0.4,2022
Zone 6 - Westside/Kerrisdale,2.5,2022
Zone 7 - Marpole,0.4,2022
Zone 8 - Mount Pleasant/Renfrew Heights,0.5,2022
Zone 9 - East Hastings,0.5,2022
Zone 10 - Southeast Vancouver,0.3,2022
City of Vancouver (Zones 1-10),0.9,2022
Zone 11 - University Endowment Lands,0.2,2022
Zone 12 - Central Park/Metrotown,1.5,2022
Zone 13 - Southeast Burnaby,0.2,2022
Zone 14 - North Burnaby,1.0,2022
Burnaby (Zones 12-14),1.1,2022
Zone 15 - New Westminster,0.6,2022
Zone 16 - North Vancouver CY,1.0,2022
Zone 17 - North Vancouver DM,3.0,2022
Zone 18 - West Vancouver,1.1,2022
Zone 19 - Richmond,0.6,2022
Zone 20 - Delta,0.4,2022
Zone 21 - Surrey,0.6,2022
Zone 22 - White Rock,1.5,2022
Zone 23 - Langley City and Langley DM,0.8,2022
Zone 24 - Tri-Cities,0.5,2022
Zone 25 - Maple Ridge/Pitt Meadows,0.8,2022
Vancouver CMA,0.9,2022
Zone 1 - West End/Stanley Park,0.5,2023
Zone 2 - English Bay,0.9,2023
Zone 3 - Downtown,1.4,2023
West End/Downtown (Zones 1-3),1.1,2023
Zone 4 - South Granville/Oak,0.4,2023
Zone 5 - Kitsilano/Point Grey,0.9,2023
Zone 6 - Westside/Kerrisdale,1.1,2023
Zone 7 - Marpole,1.1,2023
Zone 8 - Mount Pleasant/Renfrew Heights,0.5,2023
Zone 9 - East Hastings,0.4,2023
Zone 10 - Southeast Vancouver,0.4,2023
City of Vancouver (Zones 1-10),0.8,2023
Zone 11 - University Endowment Lands,0.4,2023
Zone 12 - Central Park/Metrotown,1.7,2023
Zone 13 - Southeast Burnaby,0.3,2023
Zone 14 - North Burnaby,1.0,2023
Burnaby (Zones 12-14),1.2,2023
Zone 15 - New Westminster,0.8,2023
Zone 16 - North Vancouver CY,0.6,2023
Zone 17 - North Vancouver DM,3.0,2023
Zone 18 - West Vancouver,0.7,2023
Zone 19 - Richmond,0.1,2023
Zone 20 - Delta,0.5,2023
Zone 21 - Surrey,1.5,2023
Zone 22 - White Rock,1.2,2023
Zone 23 - Langley City and Langley DM,1.5,2023
Zone 24 - Tri-Cities,0.5,2023
Zone 25 - Maple Ridge/Pitt Meadows,1.0,2023
Vancouver CMA,0.9,2023
Zone 1 - West End/Stanley Park,1.7,2025
Zone 2 - English Bay,2.7,2025
Zone 3 - Downtown,4.3,2025
West End/Downtown (Zones 1-3),3.4,2025
Zone 4 - South Granville/Oak,1.8,2025
Zone 5 - Kitsilano/Point Grey,1.7,2025
Zone 6 - Westside/Kerrisdale,2.4,2025
Zone 7 - Marpole,2.6,2025
Zone 8 - Mount Pleasant/Renfrew Heights,2.5,2025
Zone 9 - East Hastings,3.9,2025
Zone 10 - Southeast Vancouver,2.6,2025
City of Vancouver (Zones 1-10),2.7,2025
Zone 11 - University Endowment Lands,1.2,2025
Zone 12 - Central Park/Metrotown,**,2025
Zone 13 - Southeast Burnaby,3.6,2025
Zone 14 - North Burnaby,5.9,2025
Burnaby (Zones 12-14),6.0,2025
Zone 15 - New Westminster,5.8,2025
Zone 16 - North Vancouver CY,2.9,2025
Zone 17 - North Vancouver DM,3.3,2025
Zone 18 - West Vancouver,1.6,2025
Zone 19 - Richmond,3.4,2025
Zone 20 - Delta,1.5,2025
Zone 21 - Surrey,4.3,2025
Zone 22 - White Rock,5.1,2025
Zone 23 - Langley City and Langley DM,3.0,2025
Zone 24 - Tri-Cities,**,2025
Zone 25 - Maple Ridge/Pitt Meadows,2.3,2025
Vancouver CMA,3.7,2025
Zone 1 - West End/Stanley Park,0.6,2024
Zone 2 - English Bay,1.6,2024
Zone 3 - Downtown,2.6,2024
West End/Downtown (Zones 1-3),2.0,2024
Zone 4 - South Granville/Oak,1.0,2024
Zone 5 - Kitsilano/Point Grey,1.0,2024
Zone 6 - Westside/Kerrisdale,1.7,2024
Zone 7 - Marpole,1.6,2024
Zone 8 - Mount Pleasant/Renfrew Heights,1.8,2024
Zone 9 - East Hastings,1.5,2024
Zone 10 - Southeast Vancouver,0.9,2024
City of Vancouver (Zones 1-10),1.6,2024
Zone 11 - University Endowment Lands,0.3,2024
Zone 12 - Central Park/Metrotown,1.4,2024
Zone 13 - Southeast Burnaby,0.2,2024
Zone 14 - North Burnaby,2.2,2024
Burnaby (Zones 12-14),1.5,2024
Zone 15 - New Westminster,1.4,2024
Zone 16 - North Vancouver CY,1.5,2024
Zone 17 - North Vancouver DM,3.0,2024
Zone 18 - West Vancouver,4.1,2024
Zone 19 - Richmond,0.7,2024
Zone 20 - Delta,0.7,2024
Zone 21 - Surrey,1.7,2024
Zone 22 - White Rock,1.8,2024
Zone 23 - Langley City and Langley DM,2.3,2024
Zone 24 - Tri-Cities,2.0,2024
Zone 25 - Maple Ridge/Pitt Meadows,0.8,2024
Vancouver CMA,1.6,2024
