Zone,Vacancy_Rate_2022
Zone 1 - West End/Stanley Park,0.4
Zone 2 - English Bay,0.9
Zone 3 - Downtown,1.8
West End/Downtown (Zones 1-3),1.3
Zone 4 - South Granville/Oak,0.6
Zone 5 - Kitsilano/Point Grey,0.4
Zone 6 - Westside/Kerrisdale,2.5
Zone 7 - Marpole,0.4
Zone 8 - Mount Pleasant/Renfrew Heights,0.5
Zone 9 - East Hastings,0.5
Zone 10 - Southeast Vancouver,0.3
City of Vancouver (Zones 1-10),0.9
Zone 11 - University Endowment Lands,0.2
Zone 12 - Central Park/Metrotown,1.5
Zone 13 - Southeast Burnaby,0.2
Zone 14 - North Burnaby,1.0
Burnaby (Zones 12-14),1.1
Zone 15 - New Westminster,0.6
Zone 16 - North Vancouver CY,1.0
Zone 17 - North Vancouver DM,3.0
Zone 18 - West Vancouver,1.1
Zone 19 - Richmond,0.6
Zone 20 - Delta,0.4
Zone 21 - Surrey,0.6
Zone 22 - White Rock,1.5
Zone 23 - Langley City and Langley DM,0.8
Zone 24 - Tri-Cities,0.5
Zone 25 - Maple Ridge/Pitt Meadows,0.8
Vancouver CMA,0.9
